keyword,colour
sweet,#E46C2C
floral,#E61E8A
fruity,#E51C2D
sour fermented,#D9D42E
green vegetative,#1FA64A
other,#1E9BC1
roasted,#C24A2C
spices,#B11F3A
nutty cocoa,#7B5A52
sweet aromatics,#D98C9C
vanilla,#E6B8A2
vanillin,#E5A08A
overall sweet,#E98B78
brown sugar,#C77C8A
black tea,#6D2C3A
chamomile,#F0B23D
rose,#D96A9E
jasmine,#F4F0E8
berry,#D91F5C
dried fruit,#D94B73
other fruit,#E56A4A
citrus fruit,#F0B52A
alcohol fermented,#A79B36
sour,#D7D530
olive oil,#8E8A3A
raw,#7E8A3A
under-ripe,#B6D94A
peapod,#57C84D
fresh,#00A86B
dark green,#006B3C
vegetative,#2F9E44
hay-like,#A3C644
herb-like,#7DBE3C
beany,#7AAE8E
chemical,#5BC0DE
papery musty,#A8BCC7
bitter,#66C2CC
salty,#D9E6E6
medicinal,#8ED1E8
petroleum,#00AEEF
skunky,#6C7A89
rubber,#0B132B
stale,#6B7F6A
cardboard,#D4B72A
papery,#F2F2F2
woody,#8B6B3F
moldy damp,#8A9A5B
musty dusty,#B5A36A
musty earthy,#9C8B5A
animalic,#A6A57A
meaty brothy,#D98C8C
phenolic,#E67E8C
cereal,#E3C13B
burnt,#A9794A
tobacco,#B09B63
pipe tobacco,#8B6F47
grain,#D9B38C
malt,#F0A060
acrid,#9A8F5A
ashy,#A8B0A0
smoky,#8C8A6B
brown roast,#7B5A2E
pungent,#6B5B6B
pepper,#D7263D
brown spice,#B23A48
anise,#D4AF37
nutmeg,#C0392B
cinnamon,#E67E22
clove,#C97F6B
cocoa,#A66A2C
nutty,#B89B8A
peanuts,#E3C13B
hazelnut,#A67C3B
almond,#D9B8A6
dark cholate,#4A2C2A
cholate,#6B3E2E
